"","city","starbucks_count","peets_count","median_age","median_household_income","X2010_population","p_white","land_area"
"Farmersville","Farmersville",0,0,NA,NA,NA,NA,NA
"Ferndale","Ferndale",0,0,NA,NA,NA,NA,NA
"Fillmore","Fillmore",1,1,31.9,60605,15002,57,3.36
"Firebaugh","Firebaugh",0,0,NA,NA,NA,NA,NA
"Folsom","Folsom",12,2,37.6,95143,72203,74,21.95
"Fontana","Fontana",7,0,28.7,64058,196069,47,42.43
"Fort Bragg","Fort Bragg",1,0,37.4,35030,7273,75,2.75
"Fort Jones","Fort Jones",0,0,NA,NA,NA,NA,NA
"Fortuna","Fortuna",1,0,38.1,37532,11926,81,4.85
"Foster City","Foster City",2,0,39.3,115053,30567,46,3.76
"Fountain Valley","Fountain Valley",5,0,42.6,81661,55313,56,9.02
"Fowler","Fowler",1,0,31.6,54698,5570,47,2.53
"Fremont","Fremont",14,1,36.8,98513,214089,33,77.46
"Fresno","Fresno",33,0,29.3,43440,494665,50,111.96
"Fullerton","Fullerton",13,0,34.8,69432,135161,54,22.35
"Galt","Galt",0,0,NA,NA,NA,NA,NA
"Garden Grove","Garden Grove",9,0,35.6,60036,170883,40,17.94
"Gardena","Gardena",3,0,37.9,46961,58829,25,5.83
"Gilroy","Gilroy",4,0,32.4,75483,48821,59,16.15
"Glendale","Glendale",13,0,41,54087,191719,71,30.45
"Glendora","Glendora",4,0,40.2,75939,50073,75,19.39
"Goleta","Goleta",3,0,36.5,72870,29888,70,7.9
"Gonzales","Gonzales",1,0,27,52928,8187,42,1.92
"Grand Terrace","Grand Terrace",0,0,NA,NA,NA,NA,NA
"Grass Valley","Grass Valley",2,0,43.2,35843,12860,89,4.74
"Greenfield","Greenfield",0,0,NA,NA,NA,NA,NA
"Gridley","Gridley",1,0,33.1,36563,6584,65,2.07
"Grover Beach","Grover Beach",1,0,36.9,47708,13156,76,2.31
"Guadalupe","Guadalupe",0,0,NA,NA,NA,NA,NA
"Gustine","Gustine",1,0,35.3,45639,5520,70,1.55
"Half Moon Bay","Half Moon Bay",1,1,43.2,96208,11324,76,6.42
"Hanford","Hanford",3,0,30.9,54421,53967,62,16.59
"Hawaiian Gardens","Hawaiian Gardens",1,0,28.4,42898,14254,45,0.95
"Hawthorne","Hawthorne",5,0,31.5,45622,84293,33,6.08
"Hayward","Hayward",11,1,33.5,62115,144186,34,45.32
"Healdsburg","Healdsburg",2,0,40.8,63666,11254,74,4.46
"Hemet","Hemet",4,0,39,34273,78657,68,27.85
"Hercules","Hercules",2,0,39,94493,24060,22,6.21
"Hermosa Beach","Hermosa Beach",3,0,37,102289,19506,87,1.43
"Hesperia","Hesperia",4,0,30.5,48624,90173,61,73.1
"Hidden Hills","Hidden Hills",0,0,NA,NA,NA,NA,NA
"Highland","Highland",1,1,30.6,59419,53104,52,18.76
"Hillsborough","Hillsborough",0,0,NA,NA,NA,NA,NA
"Hollister","Hollister",3,0,30.8,62570,34928,59,7.29
"Holtville","Holtville",0,0,NA,NA,NA,NA,NA
"Hughson","Hughson",0,0,NA,NA,NA,NA,NA
"Huntington Beach","Huntington Beach",18,1,40.2,80901,189992,77,26.75
"Huntington Park","Huntington Park",2,0,28.9,36788,58114,51,3.01
"Huron","Huron",0,0,NA,NA,NA,NA,NA
"Imperial","Imperial",0,0,NA,NA,NA,NA,NA
"Imperial Beach","Imperial Beach",0,0,NA,NA,NA,NA,NA
"Indian Wells","Indian Wells",0,0,NA,NA,NA,NA,NA
"Indio","Indio",5,0,32.2,52199,76036,61,29.18
"Industry","Industry",1,0,37.5,49792,219,59,11.78
"Inglewood","Inglewood",3,0,33.4,44021,109673,23,9.07
"Ione","Ione",0,0,NA,NA,NA,NA,NA
"Irvine","Irvine",22,3,33.9,92599,212375,50,66.11
"Irwindale","Irwindale",1,0,34,65455,1422,59,8.83
"Isleton","Isleton",0,0,NA,NA,NA,NA,NA
"Jackson","Jackson",1,0,46,48631,4651,88,3.73
"Jurupa Valley","Jurupa Valley",0,0,NA,NA,NA,NA,NA
"Kerman","Kerman",0,0,NA,NA,NA,NA,NA
"King City","King City",1,0,25.9,52634,12874,48,3.84
"Kingsburg","Kingsburg",1,0,33.7,58091,11382,75,2.83
"La Cañada Flintridge","La Cañada Flintridge",0,0,NA,NA,NA,NA,NA
"La Habra","La Habra",5,0,33.6,63356,60239,58,7.37
"La Habra Heights","La Habra Heights",0,0,NA,NA,NA,NA,NA
"La Mesa","La Mesa",9,0,37.1,54519,57065,72,9.08
